"","obs","date_id","unit","total_fatal","white_fatal","black_fatal","auth","eff","black","toe","count","integration_pct","black_imputed","period","specpct_imputed","specpct_imputed100","data","white","specpct_real","specpct_real100","blackbn"
"183",10053,1951121,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,NA,NA,NA,917,35,0.13733024631977,125.931835875229,511201,0,0,0,NA,NA,NA,0
"184",10053,1951122,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,NA,NA,NA,917,36,0.13733024631977,125.931835875229,511202,0,0,0,NA,NA,NA,0
"185",10053,1952011,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,894,814,NA,917,37,0.13733024631977,125.931835875229,520101,0,0,0,NA,NA,NA,0
"186",10053,1952012,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,890,812,NA,917,38,0.13733024631977,125.931835875229,520102,0,0,0,NA,NA,NA,0
"187",10053,1952021,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,890,826,NA,917,39,0.13733024631977,125.931835875229,520201,0,0,0,NA,NA,NA,0
"188",10053,1952022,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,NA,NA,NA,917,40,0.13733024631977,125.931835875229,520202,0,0,0,NA,NA,NA,0
"189",10053,1952031,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,NA,NA,NA,917,41,0.13733024631977,125.931835875229,520301,0,0,0,NA,NA,NA,0
"190",10053,1952032,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,854,763,NA,917,42,0.13733024631977,125.931835875229,520302,0,0,0,NA,NA,NA,0
"191",10053,1952041,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,854,684,NA,917,43,0.13733024631977,125.931835875229,520401,0,0,0,NA,NA,NA,0
"192",10053,1952042,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,854,703,NA,917,44,0.13733024631977,125.931835875229,520402,0,0,0,NA,NA,NA,0
